s,,,,,,,,,
Year,GDP-US $ billion nominal,Population-US million,Other Spending-fed $ billion nominal,,Other Spending-xfer $ billion nominal,,Other Spending-state $ billion nominal,,Other Spending-local $ billion nominal
1792,0.223,4.173,0,a,0,,0,,0
1793,0.249,4.3,0,a,0,,0,,0
1794,0.312,4.432,0,a,0,,0,,0
1795,0.38,4.567,0,a,0,,0,,0
1796,0.413,4.707,0,a,0,,0,,0
1797,0.405,4.85,0,a,0,,0,,0
1798,0.409,4.998,0,a,0,,0,,0
1799,0.437,5.151,0,a,0,,0,,0
1800,0.476,5.308,0,a,0,,0,,0
1801,0.509,5.476,0,a,0,,0,,0
1802,0.446,5.648,0,a,0,,0,,0
1803,0.482,5.826,0,a,0,,0,,0
1804,0.527,6.01,0,a,0,,0,,0
1805,0.556,6.199,0,a,0,,0,,0
1806,0.611,6.395,0,a,0,,0,,0
1807,0.583,6.596,0,a,0,,0,,0
1808,0.64,6.804,0,a,0,,0,,0
1809,0.68,7.019,0,a,0,,0,,0
1810,0.699,7.24,0,a,0,,0,,0
1811,0.76,7.45,0,a,0,,0,,0
1812,0.779,7.666,0,a,0,,0,,0
1813,0.96,7.889,0,a,0,,0,,0
1814,1.068,8.118,0,a,0,,0,,0
1815,0.916,8.354,0,a,0,,0,,0
1816,0.811,8.596,0,a,0,,0,,0
1817,0.761,8.846,0,a,0,,0,,0
1818,0.73,9.102,0.01,a,0,,0,,0
1819,0.72,9.367,0,a,0,,0,,0
1820,0.703,9.638,0,a,0,,0,,0
1821,0.728,9.921,0,a,0,,0,,0
1822,0.798,10.212,0,a,0,,0,,0
1823,0.752,10.511,0,a,0,,0,,0
1824,0.747,10.819,0.01,a,0,,0,,0
1825,0.814,11.136,0,a,0,,0,,0
1826,0.858,11.462,0,a,0,,0,,0
1827,0.907,11.798,0,a,0,,0,,0
1828,0.888,12.144,0.01,a,0,,0,,0
1829,0.921,12.5,0.01,a,0,,0,,0
1830,1.012,12.866,0.01,a,0,,0,,0
1831,1.042,13.235,0.01,a,0,,0,,0
1832,1.118,13.614,0.01,a,0,,0,,0
1833,1.147,14.005,0.01,a,0,,0,,0
1834,1.207,14.406,0.01,a,0,,0,,0
1835,1.327,14.819,0.01,a,0,,0,,0
1836,1.465,15.244,0.01,a,0,,0,,0
1837,1.539,15.682,0.02,a,0,,0,,0
1838,1.582,16.131,0.02,a,0,,0,,0
1839,1.645,16.594,0.01,a,0,,0,,0
1840,1.559,17.07,0.01,a,0,,0,,0
1841,1.636,17.601,0.01,a,0,,0,,0
1842,1.602,18.149,0.01,a,0,,0,,0
1843,1.553,18.714,0.01,a,0,,0,,0
1844,1.686,19.296,0.01,a,0,,0,,0
1845,1.842,19.897,0.01,a,0,,0,,0
1846,2.045,20.516,0.01,a,0,,0,,0
1847,2.387,21.154,0.01,a,0,,0,,0
1848,2.404,21.813,0.01,a,0,,0,,0
1849,2.395,22.492,0.02,a,0,,0,,0
1850,2.556,23.192,0.02,a,0,,0,,0
1851,2.698,23.909,0.03,a,0,,0,,0
1852,3.037,24.648,0.03,a,0,,0,,0
1853,3.279,25.409,0.03,a,0,,0,,0
1854,3.677,26.195,0.04,a,0,,0,,0
1855,3.937,27.004,0.04,a,0,,0,,0
1856,4.009,27.839,0.1,a,0,,0,,0
1857,4.14,28.699,0.04,a,0,,0,,0
1858,4.054,29.586,0.04,a,0,,0,,0
1859,4.383,30.501,0.04,a,0,,0,,0
1860,4.345,31.443,0.05,a,0,,0,,0
1861,4.599,32.091,0.04,a,0,,0,,0
1862,5.788,32.753,0.03,a,0,,0,,0
1863,7.625,33.428,0.04,a,0,,0,,0
1864,9.457,34.117,0.04,a,0,,0,,0
1865,9.881,34.82,0.06,a,0,,0,,0
1866,8.995,35.537,0.06,a,0,,0,,0
1867,8.344,36.27,0.09,a,0,,0,,0
1868,8.146,37.017,0.09,a,0,,0,,0
1869,7.845,37.78,0.09,a,0,,0,,0
1870,7.737,38.558,0.1,a,0,,0,,0
1871,7.592,39.588,0.1,a,0,,0,,0
1872,8.23,40.646,0.1,a,0,,0,,0
1873,8.753,41.732,0.12,a,0,,0,,0
1874,8.482,42.847,0.13,a,0,,0,,0
1875,8.16,43.991,0.11,a,0,,0,,0
1876,8.308,45.166,0.11,a,0,,0,,0
1877,8.521,46.373,0.1,a,0,,0,,0
1878,8.379,47.612,0.09,a,0,,0,,0
1879,9.359,48.883,0.1,a,0,,0,,0
1880,10.362,50.189,0.1,a,0,,0,,0
1881,11.628,51.342,0.11,a,0,,0,,0
1882,12.214,52.521,0.11,a,0,,0,,0
1883,12.316,53.726,0.12,a,0,,0,,0
1884,11.782,54.96,0.12,a,0,,0,,0
1885,11.593,56.222,0.14,a,0,,0,,0
1886,12.18,57.513,0.13,a,0,,0,,0,
1887,13.146,58.833,0.14,a,0,,0,,0,
1888,13.866,60.184,0.14,a,0,,0,,0,
1889,13.853,61.566,0.17,a,0,,0,,0,
1890,15.077,62.98,0.17,a,0,,0.01,a,0.1,a
1891,15.409,64.192,0.2,a,0,,0.01,i,0.1,i
1892,16.356,65.428,0.19,a,0,,0.01,i,0.1,i
1893,15.417,66.688,0.2,a,0,,0.02,i,0.1,i
1894,14.143,67.972,0.2,a,0,,0.02,i,0.1,i
1895,15.603,69.281,0.19,a,0,,0.02,i,0.11,i
1896,15.493,70.615,0.19,a,0,,0.02,i,0.11,i
1897,16.153,71.974,0.2,a,0,,0.02,i,0.12,i
1898,18.088,73.36,0.21,a,0,,0.02,i,0.13,i
1899,19.506,74.773,0.23,a,0,,0.02,i,0.14,i
1900,20.567,76.212,0.26,a,0,,0.02,i,0.16,i
1901,22.269,77.68,0.26,a,0,,0.02,i,0.19,i
1902,24.062,79.176,0.16,a,-0.01,a,0.02,a,0.23,a
1903,25.93,80.701,0.18,i,-0.01,i,0.03,i,0.24,i
1904,25.681,82.255,0.19,i,-0.01,i,0.03,i,0.26,i
1905,28.788,83.839,0.2,i,-0.01,i,0.03,i,0.28,i
1906,31.037,85.453,0.22,i,-0.01,i,0.04,i,0.3,i
1907,33.851,87.099,0.23,i,-0.01,i,0.04,i,0.32,i
1908,30.133,88.776,0.25,i,-0.01,i,0.05,i,0.34,i
1909,32.229,90.486,0.27,i,-0.01,i,0.05,i,0.36,i
1910,33.423,92.229,0.29,i,-0.01,i,0.05,i,0.38,i
1911,34.343,93.523,0.31,i,-0.01,i,0.06,i,0.41,i
1912,37.384,94.836,0.33,i,-0.01,i,0.06,i,0.43,i
1913,39.14,96.167,0.36,a,-0.01,a,0.07,a,0.46,a
1914,36.479,97.516,0.39,i,-0.01,i,0.08,i,0.5,i
1915,38.675,98.885,0.42,i,-0.01,i,0.1,i,0.53,i
1916,49.638,100.273,0.46,i,-0.01,i,0.12,i,0.57,i
1917,59.702,101.68,0.51,i,-0.01,i,0.13,i,0.61,i
1918,75.835,103.107,0.55,i,-0.01,i,0.15,i,0.65,i
1919,78.333,104.554,0.6,i,-0.01,i,0.17,i,0.69,i
1920,88.393,106.022,0.66,i,-0.01,i,0.19,i,0.73,i
1921,73.603,107.626,0.72,i,-0.02,i,0.21,i,0.77,i
1922,73.432,109.254,0.63,a,-0.02,a,0.22,a,0.82,a
1923,85.414,110.908,0.67,i,-0.02,i,0.22,i,0.91,i
1924,86.947,112.586,0.7,i,-0.02,i,0.22,i,1.01,i
1925,90.575,114.29,0.74,i,-0.02,i,0.21,i,1.11,i
1926,96.949,116.019,0.78,i,-0.03,i,0.2,i,1.23,i
1927,95.544,117.775,0.82,a,-0.03,a,0.19,a,1.36,a
1928,97.365,119.557,0.85,i,-0.03,i,0.2,i,1.35,i
1929,103.6,121.366,0.87,i,-0.03,i,0.21,i,1.33,i
1930,91.2,123.203,0.9,i,-0.03,i,0.22,i,1.28,i
1931,76.5,124.071,0.93,i,-0.03,i,0.23,i,1.22,i
1932,58.7,124.945,0.96,a,-0.03,a,0.23,a,1.14,a
1933,56.4,125.825,1.34,i,-0.08,i,0.2,i,1.08,i
1934,66,126.712,1.73,a,-0.14,a,0.24,a,1.01,a
1935,73.3,127.605,2.22,i,-0.16,i,0.28,i,1.09,i
1936,83.8,128.504,2.72,a,-0.18,a,0.33,a,1.17,a
1937,91.9,129.41,2.68,i,-0.15,i,0.42,i,1.25,i
1938,86.1,130.321,2.64,a,-0.12,a,0.51,a,1.32,a
1939,92.2,131.24,2.98,i,-0.16,i,0.54,i,1.38,i
1940,101.4,132.165,3.32,a,-0.2,a,0.57,a,1.43,a
1941,126.7,133.966,3.23,i,-0.19,i,0.61,i,1.43,i
1942,161.9,135.792,3.13,a,-0.19,a,0.65,a,1.42,a
1943,198.6,137.643,3.36,i,-0.23,i,0.73,i,1.44,i
1944,219.8,139.519,3.58,a,-0.28,a,0.8,a,1.44,a
1945,223,141.421,3.89,i,-0.22,i,0.94,i,1.69,i
1946,222.2,143.349,4.19,a,-0.17,a,1.06,a,1.94,a
1947,244.1,145.303,3.82,i,-0.16,i,1.58,i,2.46,i
1948,269.1,147.283,3.44,a,-0.15,a,2.09,a,2.99,a
1949,267.2,149.291,5.02,i,-0.19,i,2.1,i,3.36,i
1950,293.7,151.326,6.61,a,-0.23,a,2.1,a,3.72,a
1951,339.3,153.917,5.43,a,-0.3,a,2.02,i,3.97,i
1952,358.3,156.552,5.09,a,-0.37,a,1.92,a,4.14,a
1953,379.3,159.232,6.8,a,-0.33,a,1.96,a,4.34,a
1954,380.4,161.958,8.28,a,-0.33,a,2.09,a,4.79,a
1955,414.7,164.731,8.27,a,-0.37,a,2.16,a,5.5,a
1956,437.4,167.551,8.62,a,-0.4,a,2.27,a,5.78,a
1957,461.1,170.42,8.24,a,-0.52,a,2.42,a,6.64,a
1958,467.2,173.337,8.49,a,-0.62,a,2.76,a,7.12,a
1959,506.6,176.305,10.39,a,-0.68,a,2.91,a,7.6,a
1960,526.4,179.323,9.63,a,-0.75,a,3.16,a,7.99,a
1961,544.8,181.588,12.45,a,-0.85,a,3.34,a,8.86,a
1962,585.7,183.881,9.02,a,-1.05,a,3.41,a,9.3,a
1963,617.8,186.204,9.7,a,-1.47,a,3.73,a,9.6,a
1964,663.6,188.555,12.79,a,-1.62,a,4.05,a,10.68,a
1965,719.1,190.937,14.17,a,-1.84,a,4.33,a,11.79,a
1966,787.7,193.348,15.5,a,-2.18,a,4.87,a,12.46,a
1967,832.4,195.79,16.11,a,-2.59,a,5.48,a,12.96,a
1968,909.8,198.263,17.62,a,-2.16,a,6.02,a,14.19,a
1969,984.4,200.766,14.64,a,-3.05,a,6.66,a,15.85,a
1970,1038.3,203.302,16.93,a,-3.17,a,7.18,a,17.64,a
1971,1126.8,205.515,16.43,a,-3.87,a,7.31,a,20.75,a
1972,1237.9,207.752,19.09,a,-5.78,a,6.95,a,24.14,a
1973,1382.3,210.013,15.18,a,-5.47,a,7.53,a,27.25,a
1974,1499.5,212.299,14.15,a,-8.15,a,8.51,a,30.33,a
1975,1637.7,214.609,27.79,a,-10.51,a,11.07,a,35.42,a
1976,1824.6,216.945,28.91,a,-14.46,a,11.14,a,41.92,a
1977,2030.1,219.307,33.68,a,-18.3,a,13.86,a,46.2,a
1978,2293.8,221.694,49.59,a,-22.87,a,14.47,a,50.04,a
1979,2562.2,224.107,48.13,a,-24.44,a,18.24,a,55.55,a
1980,2788.1,226.546,53.43,a,-25.79,a,20.76,a,61.9,a
1981,3126.8,228.67,53.38,a,-27.76,a,23.6,a,70.19,a
1982,3253.2,230.815,56.12,a,-25.64,a,22.44,a,75.21,a
1983,3534.6,232.979,54.25,a,-25.79,a,25.94,a,80.22,a
1984,3930.9,235.164,47.08,a,-27.97,a,27.17,a,83.45,a
1985,4217.5,237.369,57,a,-30.16,a,32.05,a,89.2,a
1986,4460.1,239.595,63.94,a,-31.5,a,34.76,a,98.47,a
1987,4736.4,241.842,55.86,a,-32.68,a,37.35,a,106.66,a
1988,5100.4,244.11,62.66,a,-32.99,a,38.81,a,111.22,a
1989,5482.1,246.399,77.18,a,-20.22,i,41.85,i,119.43,i
1990,5800.5,248.71,116.57,a,-23.68,a,44.91,a,127.59,a
1991,5992.1,251.802,128.2,a,-24.94,a,47.48,a,134.88,a
1992,6342.3,254.933,67.2,a,-18.12,a,41.45,a,135.39,a
1993,6667.4,258.103,41.65,a,-20.3,a,42.87,a,139.76,a
1994,7085.2,261.312,54.8,a,-21.6,a,44.25,a,145.23,a
1995,7414.7,264.561,30.89,a,-23.15,a,47.66,a,152.48,a
1996,7838.5,267.85,40.56,a,-23.65,a,46.92,a,157.44,a
1997,8332.4,271.18,23.82,a,-25.82,a,48.76,a,169.14,a
1998,8793.5,274.552,46.09,a,-26.24,a,53.72,a,173.98,a
1999,9353.5,277.966,68.95,a,-28.48,a,57.74,a,184.49,a
2000,9951.5,282.172,79.84,a,-30.01,a,64.42,a,193.45,a
2001,10286.2,285.082,72.56,a,-30.42,i,79.82,a,210.57,i
2002,10642.3,287.804,72.08,a,-34.15,a,82.47,a,227.69,a
2003,11142.2,290.326,77.11,a,-37.39,i,77.58,a,238.31,i
