s,,,,,,,,,
Year,GDP-US $ billion nominal,Population-US million,Interest-fed $ billion nominal,,Interest-xfer $ billion nominal,,Interest-state $ billion nominal,,Interest-local $ billion nominal
1792,0.223,4.173,0,a,0,,0,,0
1793,0.249,4.3,0,a,0,,0,,0
1794,0.312,4.432,0,a,0,,0,,0
1795,0.38,4.567,0,a,0,,0,,0
1796,0.413,4.707,0,a,0,,0,,0
1797,0.405,4.85,0,a,0,,0,,0
1798,0.409,4.998,0,a,0,,0,,0
1799,0.437,5.151,0,a,0,,0,,0
1800,0.476,5.308,0,a,0,,0,,0
1801,0.509,5.476,0,a,0,,0,,0
1802,0.446,5.648,0,a,0,,0,,0
1803,0.482,5.826,0,a,0,,0,,0
1804,0.527,6.01,0,a,0,,0,,0
1805,0.556,6.199,0,a,0,,0,,0
1806,0.611,6.395,0,a,0,,0,,0
1807,0.583,6.596,0,a,0,,0,,0
1808,0.64,6.804,0,a,0,,0,,0
1809,0.68,7.019,0,a,0,,0,,0
1810,0.699,7.24,0,a,0,,0,,0
1811,0.76,7.45,0,a,0,,0,,0
1812,0.779,7.666,0,a,0,,0,,0
1813,0.96,7.889,0,a,0,,0,,0
1814,1.068,8.118,0.01,a,0,,0,,0
1815,0.916,8.354,0.01,a,0,,0,,0
1816,0.811,8.596,0.01,a,0,,0,,0
1817,0.761,8.846,0.01,a,0,,0,,0
1818,0.73,9.102,0.01,a,0,,0,,0
1819,0.72,9.367,0.01,a,0,,0,,0
1820,0.703,9.638,0.01,a,0,,0,,0
1821,0.728,9.921,0.01,a,0,,0,,0
1822,0.798,10.212,0.01,a,0,,0,,0
1823,0.752,10.511,0,a,0,,0,,0
1824,0.747,10.819,0,a,0,,0,,0
1825,0.814,11.136,0,a,0,,0,,0
1826,0.858,11.462,0,a,0,,0,,0
1827,0.907,11.798,0,a,0,,0,,0
1828,0.888,12.144,0,a,0,,0,,0
1829,0.921,12.5,0,a,0,,0,,0
1830,1.012,12.866,0,a,0,,0,,0
1831,1.042,13.235,0,a,0,,0,,0
1832,1.118,13.614,0,a,0,,0,,0
1833,1.147,14.005,0,a,0,,0,,0
1834,1.207,14.406,0,a,0,,0,,0
1835,1.327,14.819,0,a,0,,0,,0
1836,1.465,15.244,0,a,0,,0,,0
1837,1.539,15.682,0,a,0,,0,,0
1838,1.582,16.131,0,a,0,,0,,0
1839,1.645,16.594,0,a,0,,0,,0
1840,1.559,17.07,0,a,0,,0,,0
1841,1.636,17.601,0,a,0,,0,,0
1842,1.602,18.149,0,a,0,,0,,0
1843,1.553,18.714,0,a,0,,0,,0
1844,1.686,19.296,0,a,0,,0,,0
1845,1.842,19.897,0,a,0,,0,,0
1846,2.045,20.516,0,a,0,,0,,0
1847,2.387,21.154,0,a,0,,0,,0
1848,2.404,21.813,0,a,0,,0,,0
1849,2.395,22.492,0,a,0,,0,,0
1850,2.556,23.192,0,a,0,,0,,0
1851,2.698,23.909,0,a,0,,0,,0
1852,3.037,24.648,0,a,0,,0,,0
1853,3.279,25.409,0,a,0,,0,,0
1854,3.677,26.195,0,a,0,,0,,0
1855,3.937,27.004,0,a,0,,0,,0
1856,4.009,27.839,0,a,0,,0,,0
1857,4.14,28.699,0,a,0,,0,,0
1858,4.054,29.586,0,a,0,,0,,0
1859,4.383,30.501,0,a,0,,0,,0
1860,4.345,31.443,0,a,0,,0,,0
1861,4.599,32.091,0,a,0,,0,,0
1862,5.788,32.753,0.01,a,0,,0,,0
1863,7.625,33.428,0.02,a,0,,0,,0
1864,9.457,34.117,0.05,a,0,,0,,0
1865,9.881,34.82,0.08,a,0,,0,,0
1866,8.995,35.537,0.13,a,0,,0,,0
1867,8.344,36.27,0.14,a,0,,0,,0
1868,8.146,37.017,0.14,a,0,,0,,0
1869,7.845,37.78,0.13,a,0,,0,,0
1870,7.737,38.558,0.13,a,0,,0,,0
1871,7.592,39.588,0.13,a,0,,0,,0
1872,8.23,40.646,0.12,a,0,,0,,0
1873,8.753,41.732,0.1,a,0,,0,,0
1874,8.482,42.847,0.11,a,0,,0,,0
1875,8.16,43.991,0.1,a,0,,0,,0
1876,8.308,45.166,0.1,a,0,,0,,0
1877,8.521,46.373,0.1,a,0,,0,,0
1878,8.379,47.612,0.1,a,0,,0,,0
1879,9.359,48.883,0.11,a,0,,0,,0
1880,10.362,50.189,0.1,a,0,,0,,0
1881,11.628,51.342,0.08,a,0,,0,,0
1882,12.214,52.521,0.07,a,0,,0,,0
1883,12.316,53.726,0.06,a,0,,0,,0
1884,11.782,54.96,0.05,a,0,,0,,0
1885,11.593,56.222,0.05,a,0,,0,,0
1886,12.18,57.513,0.05,a,0,,0,,0,
1887,13.146,58.833,0.05,a,0,,0,,0,
1888,13.866,60.184,0.04,a,0,,0,,0,
1889,13.853,61.566,0.04,a,0,,0,,0,
1890,15.077,62.98,0.04,a,0,,0.01,a,0.04,a
1891,15.409,64.192,0.04,a,0,,0.01,i,0.04,i
1892,16.356,65.428,0.02,a,0,,0.01,i,0.04,i
1893,15.417,66.688,0.03,a,0,,0.01,i,0.04,i
1894,14.143,67.972,0.03,a,0,,0.01,i,0.04,i
1895,15.603,69.281,0.03,a,0,,0.01,i,0.05,i
1896,15.493,70.615,0.04,a,0,,0.01,i,0.05,i
1897,16.153,71.974,0.04,a,0,,0.01,i,0.05,i
1898,18.088,73.36,0.04,a,0,,0.01,i,0.05,i
1899,19.506,74.773,0.04,a,0,,0.01,i,0.05,i
1900,20.567,76.212,0.04,a,0,,0.01,i,0.05,i
1901,22.269,77.68,0.03,a,0,,0.01,i,0.06,i
1902,24.062,79.176,0.03,a,0,,0.01,a,0.06,a
1903,25.93,80.701,0.03,i,0,,0.01,i,0.06,i
1904,25.681,82.255,0.03,i,0,,0.01,i,0.07,i
1905,28.788,83.839,0.03,i,0,,0.01,i,0.07,i
1906,31.037,85.453,0.03,i,0,,0.01,i,0.08,i
1907,33.851,87.099,0.03,i,0,,0.01,i,0.09,i
1908,30.133,88.776,0.03,i,0,,0.01,i,0.09,i
1909,32.229,90.486,0.03,i,0,,0.01,i,0.1,i
1910,33.423,92.229,0.03,i,0,,0.01,i,0.11,i
1911,34.343,93.523,0.02,i,0,,0.01,i,0.11,i
1912,37.384,94.836,0.02,i,0,,0.01,i,0.12,i
1913,39.14,96.167,0.02,a,0,,0.01,a,0.13,a
1914,36.479,97.516,0.02,i,0,,0.02,i,0.15,i
1915,38.675,98.885,0.02,i,0,,0.02,i,0.16,i
1916,49.638,100.273,0.02,i,0,,0.02,i,0.18,i
1917,59.702,101.68,0.02,i,0,,0.02,i,0.2,i
1918,75.835,103.107,0.19,i,0,,0.03,i,0.22,i
1919,78.333,104.554,0.62,i,0,,0.03,i,0.25,i
1920,88.393,106.022,1.02,i,0,,0.04,i,0.27,i
1921,73.603,107.626,1,i,0,,0.04,i,0.3,i
1922,73.432,109.254,0.99,a,0,,0.05,a,0.34,a
1923,85.414,110.908,0.94,i,0,,0.05,i,0.37,i
1924,86.947,112.586,0.89,i,0,,0.06,i,0.4,i
1925,90.575,114.29,0.85,i,0,,0.07,i,0.43,i
1926,96.949,116.019,0.8,i,0,,0.07,i,0.46,i
1927,95.544,117.775,0.76,a,0,,0.08,a,0.5,a
1928,97.365,119.557,0.72,i,0,,0.09,i,0.52,i
1929,103.6,121.366,0.69,i,0,,0.09,i,0.55,i
1930,91.2,123.203,0.65,i,0,,0.1,i,0.57,i
1931,76.5,124.071,0.61,i,0,,0.11,i,0.6,i
1932,58.7,124.945,0.58,a,0,,0.11,a,0.63,a
1933,56.4,125.825,0.66,i,0,,0.12,i,0.62,i
1934,66,126.712,0.73,a,0,,0.12,a,0.62,a
1935,73.3,127.605,0.73,i,0,,0.12,i,0.62,i
1936,83.8,128.504,0.72,a,0,,0.12,a,0.61,a
1937,91.9,129.41,0.78,i,0,,0.13,i,0.58,i
1938,86.1,130.321,0.84,a,0,,0.13,a,0.55,a
1939,92.2,131.24,0.87,i,0,,0.13,i,0.53,i
1940,101.4,132.165,0.9,a,0,,0.13,a,0.52,a
1941,126.7,133.966,0.96,i,0,,0.13,i,0.48,i
1942,161.9,135.792,1.03,a,0,,0.12,a,0.44,a
1943,198.6,137.643,1.59,i,0,,0.11,i,0.42,i
1944,219.8,139.519,2.15,a,0,,0.1,a,0.4,a
1945,223,141.421,3.01,i,0,,0.09,i,0.37,i
1946,222.2,143.349,3.87,a,0,,0.08,a,0.34,a
1947,244.1,145.303,4.09,i,0,,0.09,i,0.33,i
1948,269.1,147.283,4.32,a,0,,0.09,a,0.31,a
1949,267.2,149.291,4.36,i,0,,0.1,i,0.33,i
1950,293.7,151.326,4.4,a,0,,0.11,a,0.35,a
1951,339.3,153.917,4.22,a,0,,0.13,i,0.38,i
1952,358.3,156.552,4.26,a,0,,0.14,a,0.41,a
1953,379.3,159.232,4.86,a,0,,0.16,a,0.45,a
1954,380.4,161.958,4.98,a,0,,0.19,a,0.53,a
1955,414.7,164.731,4.85,a,0,,0.25,a,0.59,a
1956,437.4,167.551,5.31,a,0,,0.31,a,0.68,a
1957,461.1,170.42,5.5,a,0,,0.35,a,0.76,a
1958,467.2,173.337,6.12,a,0,,0.4,a,0.85,a
1959,506.6,176.305,5.54,a,0,,0.45,a,0.96,a
1960,526.4,179.323,7.66,a,0,,0.54,a,1.13,a
1961,544.8,181.588,7.49,a,0,,0.58,a,1.24,a
1962,585.7,183.881,6.89,a,0,,0.64,a,1.38,a
1963,617.8,186.204,7.74,a,0,,0.72,a,1.44,a
1964,663.6,188.555,8.2,a,0,,0.77,a,1.59,a
1965,719.1,190.937,8.59,a,0,,0.82,a,1.67,a
1966,787.7,193.348,9.39,a,0,,0.89,a,1.8,a
1967,832.4,195.79,10.27,a,0,,1.03,a,2.01,a
1968,909.8,198.263,11.09,a,0,,1.13,a,2.14,a
1969,984.4,200.766,12.7,a,0,,1.28,a,2.46,a
1970,1038.3,203.302,14.38,a,0,,1.5,a,2.88,a
1971,1126.8,205.515,14.84,a,0,,1.84,a,3.25,a
1972,1237.9,207.752,15.48,a,0,,2.26,a,3.7,a
1973,1382.3,210.013,17.35,a,0,,2.66,a,4.13,a
1974,1499.5,212.299,21.45,a,0,,3.08,a,4.59,a
1975,1637.7,214.609,23.25,a,0,,3.62,a,5.16,a
1976,1824.6,216.945,26.73,a,0,,4.33,a,5.94,a
1977,2030.1,219.307,29.9,a,0,,4.8,a,6.44,a
1978,2293.8,221.694,35.46,a,0,,5.16,a,6.83,a
1979,2562.2,224.107,42.63,a,0,,5.64,a,7.35,a
1980,2788.1,226.546,52.53,a,0,,6.49,a,8.26,a
1981,3126.8,228.67,68.77,a,0,,7.63,a,9.5,a
1982,3253.2,230.815,85.03,a,0,,9.09,a,11.07,a
1983,3534.6,232.979,89.81,a,0,,11,a,13.14,a
1984,3930.9,235.164,111.1,a,0,,13.19,a,15.51,a
1985,4217.5,237.369,129.48,a,0,,14.98,a,17.45,a
1986,4460.1,239.595,136.02,a,0,,16.88,a,20.19,a
1987,4736.4,241.842,138.61,a,0,,18.58,a,23.23,a
1988,5100.4,244.11,151.8,a,0,,19.39,a,24.95,a
1989,5482.1,246.399,168.98,a,0,,20.45,i,26.58,i
1990,5800.5,248.71,184.35,a,0,,21.5,a,28.21,a
1991,5992.1,251.802,194.45,a,0,,23.39,a,28.87,a
1992,6342.3,254.933,199.34,a,0,,24.62,a,30.75,a
1993,6667.4,258.103,198.71,a,0,,24.02,a,31.08,a
1994,7085.2,261.312,202.93,a,0,,23.72,a,31.24,a
1995,7414.7,264.561,232.13,a,0,,24.49,a,32.48,a
1996,7838.5,267.85,241.05,a,0,,25.41,a,33.5,a
1997,8332.4,271.18,243.98,a,0,,26.31,a,36.11,a
1998,8793.5,274.552,241.12,a,0,,26.78,a,37.78,a
1999,9353.5,277.966,229.76,a,0,,27.79,a,39.51,a
2000,9951.5,282.172,222.95,a,0,,29.19,a,40.63,a
2001,10286.2,285.082,206.17,a,0,,30.45,a,42.25,i
2002,10642.3,287.804,170.95,a,0,,31.41,a,43.88,a
2003,11142.2,290.326,153.07,a,0,,31.29,a,46.39,i
2004,11853.3,293.046,160.25,a,0,,32.91,a,48.9,a
2005,12623,295.507,183.99,a,0,,34.24,a,46.88,a
2006,13377.2,298.109,226.6,a,0,,38.23,a,47.93,a
2007,14028.7,300.733,237.11,a,0,,41.59,a,51.95,a
2008,14369.1,303.38,252.76,a,0,,44.84,a,56.17,a
2009,13939,306.051,186.9,a,0,,45.28,a,59.24,a
2010,14508.2,308.746,196.19,a,0,,45.3,a,60.42,a
2011,14958.6,311.592,229.96,a,0,,46.83,a,62.48,e
